date,ridership
2/7/2023,3738539
2/8/2023,3780682
2/9/2023,3754859
2/10/2023,3539529
2/11/2023,2333625
2/12/2023,1746099
2/13/2023,3303337
2/14/2023,3812943
2/15/2023,3762817
2/16/2023,3683782
2/17/2023,3253165
2/18/2023,2271106
2/19/2023,1824136
2/20/2023,2238557
2/21/2023,3325542
2/22/2023,3454362
2/23/2023,3498367
2/24/2023,3246699
2/25/2023,2043635
2/26/2023,1625191
2/27/2023,3337916
2/28/2023,3412079
3/1/2023,3780713
3/2/2023,3765925
3/3/2023,3481830
3/4/2023,2173217
3/5/2023,1772121
3/6/2023,3427019
3/7/2023,3773780
3/8/2023,3842861
3/9/2023,3827656
3/10/2023,3502339
3/11/2023,2230530
3/12/2023,1773585
3/13/2023,3352388
3/14/2023,3577250
3/15/2023,3912366
3/16/2023,3949788
3/17/2023,3661519
3/18/2023,2417873
3/19/2023,1894476
3/20/2023,3442589
3/21/2023,3801084
3/22/2023,3797399
3/23/2023,3774396
3/24/2023,3551084
3/25/2023,2167532
3/26/2023,1954188
3/27/2023,3415956
3/28/2023,3787358
3/29/2023,3872836
3/30/2023,3859866
3/31/2023,3573155
4/1/2023,2283117
4/2/2023,1949126
4/3/2023,3596924
4/4/2023,3891479
4/5/2023,3781579
4/6/2023,
4/7/2023,
4/8/2023,
4/9/2023,
4/10/2023,
4/11/2023,
4/12/2023,
4/13/2023,
4/14/2023,
4/15/2023,
4/16/2023,
4/17/2023,
4/18/2023,
4/19/2023,
4/20/2023,
4/21/2023,
4/22/2023,
4/23/2023,
4/24/2023,
4/25/2023,
4/26/2023,
4/27/2023,
4/28/2023,
4/29/2023,
4/30/2023,
5/1/2023,
5/2/2023,
5/3/2023,
5/4/2023,
5/5/2023,
5/6/2023,
5/7/2023,
5/8/2023,
5/9/2023,
5/10/2023,
5/11/2023,
5/12/2023,
5/13/2023,
5/14/2023,
5/15/2023,
5/16/2023,
5/17/2023,
5/18/2023,
5/19/2023,
5/20/2023,
5/21/2023,
5/22/2023,
5/23/2023,
5/24/2023,
5/25/2023,
5/26/2023,
5/27/2023,
5/28/2023,
5/29/2023,
5/30/2023,
5/31/2023,
6/1/2023,
